"voter","count"
"osmo10ksuhymchmhsnlns0s3rr945pvs8tv30pc50ey",2
"osmo10kw2ck0j5npx77j305gdhrnkfnherxhv5m70kd",1
"osmo10l2k8n2a6dfqz96sn42qnrtmt96kmnyl2u3z8q",1
"osmo10l56qdud5g6qt3pzywy65urm9cle0mx7pm8hlw",2
"osmo10law7pxs0y8d6288z87steglmtl2vx3udtxpds",2
"osmo10lcgy02g4z5z8djthlg435qgcsw2n8hxtcvcde",4
"osmo10lct28nc5tyyxnqzlmyeluunee58w79cedy5rn",1
"osmo10lepwmwfy00uuq5nldzgh2hdtp3zw4hx9vrmn4",3
"osmo10lhl25cq45h396q2vt2js4dvua5dxz0lyl2kng",1
"osmo10lnxkvncgdxqv8z8aee9pvyf9h8ddcml7wx9jt",3
"osmo10lplg660zhrf5wt00luw4wrj7x5rnrzgnlz6xu",2
"osmo10m4he0exsjjaaju7s7sm5w8ekuj3anr5myg8l9",1
"osmo10m6c487x7yt87uyrn94tpkeng3ulqpvdtq2azy",1
"osmo10m9x6v99eem0zxz80xhrmth47lwfac29mwayha",1
"osmo10mnkgu3lj8j8hkwhlyg073a2n2g4hazryud6zn",3
"osmo10n0sj8mgkyd7y26ms555eqcazhm7tgee3em04v",1
"osmo10n49twa20ahnsv8jaammqunn544e9vrlkeecnt",1
"osmo10n58ghv7nyl8eq6vlgmmuwfr8uay8my0hrkca4",4
"osmo10n7pmh22h7jhtrsctsymeyunudkqer0y8dyxg6",3
"osmo10njskfe93gszekjwzuf0wx8u2mvmxa4y3ekhpt",4
"osmo10nq30e9f42yev6xj0akw849n0cdlgrrgwjzz95",1
"osmo10nszvpnn83hq9lmlhs73p8mfx0wgwnz9ukp885",4
"osmo10ny6htawnwkzvjl74499dgfpeqt3d06a25n3vq",1
"osmo10p4rnezpx8c84v8n7eysse0vw55xshs2c4r8hv",4
"osmo10p5jd6yz2twvvzg5c7gq2l6v6u42vthc9qxh3f",1
"osmo10pgyjw9fln6fd2xpekj04f83pml4er90x0tms0",1
"osmo10pj7eg95trl8rup0c95qshnda7qvetrtgf7jdh",1
"osmo10pq85n3pmchckf87luh5drh9v2yf44fl8hgzt4",3
"osmo10pxq209k7cyr8gp4yf8486n2fusj5am0uqh3l7",1
"osmo10q22sa2zqndgyag8klz95gm5v0v5n748rcp6q8",2
"osmo10q82tytk4vnhmlxcf3wwd2zf87jph86h5pf6s6",1
"osmo10qdvc48ng2ps4efghmfjft97r8duz9jnnv4k04",1
"osmo10qey6aqjf5wlkglp0ljjg3v6h8ws26pmpgnmw0",2
"osmo10qf7p3xvjpphv3eyvf92mg2lgtgz88sz8kd2u6",3
"osmo10ql3rwuxsa0h5y5u5jrv7570e0k558273xkvvt",1
"osmo10qsrwygnwrwfnz5npmvjd3namy4dadgk2yz6sn",4
"osmo10qwykvdg0jcvavp9c95hc6rmv26a07gje4qgs6",1
"osmo10qxgsk2zzd6tyn85wqr5k4c3gnp5a9wk7rxww3",2
"osmo10qyjx22fdjtcxdx8upzzd3n7d9cs3kwlazp97z",1
"osmo10qymecrjmsctxs0jgf9jr3d2fxltyctkrfyjj3",1
"osmo10r39fueph9fq7a6lgswu4zdsg8t3gxlqyhl56p",4
"osmo10r7ykd02zs2exhwfkjn9nj05r04e6t30vktrhk",2
"osmo10r92uvhfgsx2t2vpaxv00yrqtjnmp59rc3gn94",4
"osmo10r9c6fcdttna36vrdu0m6nxt28u0evrcvpxjv5",4
"osmo10ralhztruh4h7xwmmn2ptew2yskygj3596vquz",3
"osmo10rapntmejseumtwq8qlgg24teg4hky8vw9mc5e",1
"osmo10rdut36lnhsrudd3t4zqqgpvrmxam4leprsszg",4
"osmo10rnscc2t820netc7mgysvrvp0l5hwf2vs8qg9n",1
"osmo10rnsl4m6u5pd4fk9fndenmyyxcm5d9h9vhfu75",3
"osmo10rprmpdjjw340vnr95qsczkt5y0n8jnd6cnw64",2
"osmo10rsp2tdhk4pst94qx84pvgrl08mkdf62q0fsph",4
"osmo10rsucstwquhrwfcmdu39uq6327zxegc4man4d6",4
"osmo10s303hwzrysr7n2pwfgfjtghx4x53638qp3nzd",2
"osmo10s3h44uygq2utppn7gyn84l5pcu87nex97wwwf",3
"osmo10s944fgumfqtw384864xq0zl69z9gg2d60r89g",4
"osmo10se7ettd3lph3g4qv0cqx3kqm9zsm3qnl2z74w",4
"osmo10sgg3dn4p3jud4kqz55qaars9h8c7pa4cycp5y",4
"osmo10sju8xq5exyspa7he7atqsqt8mhz0d3u243car",4
"osmo10srftzzf8wc2geclaxjxxc6gdfmeallc2c7rsq",1
"osmo10sv7qmqqe5ttpsedd4y3sye8f6eekeauw7sjqs",1
"osmo10svja2jze3uesz86fl99flgn7dpjdmf4trfeal",3
"osmo10swxnu8msuxye67c7kktdzgxmfwa9d33tmzm23",1
"osmo10sxe9z0xt5hjs78t0q60p0wzuhlzq5m6lcd63h",1
"osmo10sy9drt0znfc4xcck770ptx88zqnc4rqchtv4z",1
"osmo10szgdrwuchewmthna7xr38aczua3kehs24688k",3
"osmo10t2h0wat0n2jryxl0xvhgp3n7s7j06qheyyhcw",1
"osmo10t3yy7fjeukuxxqdwahd2pp6sc0q2ptqtg2ed2",1
"osmo10t5uu8cqfelqyfjhqnltzf7def6kpwcjrnacjl",1
"osmo10t7jd3kkquqrymjfwyh8ugmh6ntwhwkhc7xwlr",2
"osmo10t8lusgdjqfnn9z2ea085mah9u65h839alqkzm",4
"osmo10t9hujrs8ndr6kxen2jjtqhfm7yucsw369f7n7",1
"osmo10tdzve88uxc535vc7qavy0ddcfftxct7w3ydde",4
"osmo10tgegpkq67wzz5u4ge2f4k0fyn6xf7xrach7vf",4
"osmo10tlz9d3p2jmku88s49m7nch2q5envf6djh2gm7",3
"osmo10tmscv7mpqkp39rta22glpg5hq5xfq6rwmelpd",1
"osmo10tqg38ajd8va7ytwmttl7csk9ug6vlfl28ctd9",4
"osmo10tqvl9tturg7sm8fsanffz7z95f935lw6ye23u",4
"osmo10trcv8p5p38mj4wm87y4e5jz2gwspudkkwk668",1
"osmo10tw0k0q89yv43s6483lfvkvk8wh2rgse3nf6jp",1
"osmo10twp80tt04zp5ssez9jmdqjlkn7g4wz76qjk4g",1
"osmo10ty0fap7l0lk3rfnpudhekhdvtefhnug3wtfcy",3
"osmo10tyspdhw7v0mmjrkj5jlrmzudrscd5l8mch660",1
"osmo10u0uulq7xzncunpxzjjxzsfpg86kye3cww4w4j",3
"osmo10u2ady3gzgjd4sa7s0pz5hynfsynrsv8m9apj6",2
"osmo10u8c8kemnmp6smxqak40dhsf2z3uuyra6wnsxr",4
"osmo10ufkg6c7qg40n4a5kjg4tf20xxzm7j45ss6xe3",1
"osmo10ufvja58kdfyy9pljwamnfcpprl30y3h6dj8tn",4
"osmo10ugm0za9gcnkht3jrmw7y2f2x89d3jngf6gzkz",1
"osmo10ugstclq977j3p2uqknx368fygtzmj7cna927y",2
"osmo10ukxdr3sqpnxndank7r777k5uaq3h7ak2ge649",3
"osmo10ut5608mqh5hy2xqyk9q9aw5vztwp76am4prjn",1
"osmo10uyx3mjp7wptjjerp27cckd6rvdqvksc4ypy7c",4
"osmo10v28alfhslmnw7jmzwxl6pqxkffhwwmjytvx3h",4
"osmo10vddmjvdy0ylhqmlumf4dkvmmwzhfz9dlxj77p",3
"osmo10vfluzvj4e6hfwyg7tlug0ua7wz04y77562ll5",2
"osmo10vkg6ckqnzr865g4f2u7am0ftekuvu4ef99x8s",1
"osmo10vkkjh7fhhmzgc44cfmj6pwzk5z6ummwhvyrmz",1
"osmo10vkqhhwu6cyp05kx0k2dfh3fyd562jgg6qtqra",4
"osmo10vrhzs86rlp8wz0tpnqt36kvzvu0vr4hv4rn0t",1
"osmo10vtg6h9wrekrjrexllj4k4murs8dss6cvfzm68",2
"osmo10vvdsmu84g37nfx9p8k898k3tqqs5kkcd7q4f4",3
"osmo10vw7zjx6jhmtlf9rncan6zr0wzp2zd0rwa74tu",1
