"address","amount"
"osmo10ralhztruh4h7xwmmn2ptew2yskygj3596vquz",203785887
"osmo10rapntmejseumtwq8qlgg24teg4hky8vw9mc5e",67928629
"osmo10rdut36lnhsrudd3t4zqqgpvrmxam4leprsszg",271714516
"osmo10rnscc2t820netc7mgysvrvp0l5hwf2vs8qg9n",67928629
"osmo10rnsl4m6u5pd4fk9fndenmyyxcm5d9h9vhfu75",203785887
"osmo10rprmpdjjw340vnr95qsczkt5y0n8jnd6cnw64",135857258
"osmo10rsp2tdhk4pst94qx84pvgrl08mkdf62q0fsph",271714516
"osmo10rsucstwquhrwfcmdu39uq6327zxegc4man4d6",271714516
"osmo10s303hwzrysr7n2pwfgfjtghx4x53638qp3nzd",135857258
"osmo10s3h44uygq2utppn7gyn84l5pcu87nex97wwwf",203785887
"osmo10s944fgumfqtw384864xq0zl69z9gg2d60r89g",271714516
"osmo10se7ettd3lph3g4qv0cqx3kqm9zsm3qnl2z74w",271714516
"osmo10sgg3dn4p3jud4kqz55qaars9h8c7pa4cycp5y",271714516
"osmo10sju8xq5exyspa7he7atqsqt8mhz0d3u243car",271714516
"osmo10srftzzf8wc2geclaxjxxc6gdfmeallc2c7rsq",67928629
"osmo10sv7qmqqe5ttpsedd4y3sye8f6eekeauw7sjqs",67928629
"osmo10svja2jze3uesz86fl99flgn7dpjdmf4trfeal",203785887
"osmo10swxnu8msuxye67c7kktdzgxmfwa9d33tmzm23",67928629
"osmo10sxe9z0xt5hjs78t0q60p0wzuhlzq5m6lcd63h",67928629
"osmo10sy9drt0znfc4xcck770ptx88zqnc4rqchtv4z",67928629
"osmo10szgdrwuchewmthna7xr38aczua3kehs24688k",203785887
"osmo10t2h0wat0n2jryxl0xvhgp3n7s7j06qheyyhcw",67928629
"osmo10t3yy7fjeukuxxqdwahd2pp6sc0q2ptqtg2ed2",67928629
"osmo10t5uu8cqfelqyfjhqnltzf7def6kpwcjrnacjl",67928629
"osmo10t7jd3kkquqrymjfwyh8ugmh6ntwhwkhc7xwlr",135857258
"osmo10t8lusgdjqfnn9z2ea085mah9u65h839alqkzm",271714516
"osmo10t9hujrs8ndr6kxen2jjtqhfm7yucsw369f7n7",67928629
"osmo10tdzve88uxc535vc7qavy0ddcfftxct7w3ydde",271714516
"osmo10tgegpkq67wzz5u4ge2f4k0fyn6xf7xrach7vf",271714516
"osmo10tlz9d3p2jmku88s49m7nch2q5envf6djh2gm7",203785887
"osmo10tmscv7mpqkp39rta22glpg5hq5xfq6rwmelpd",67928629
"osmo10tqg38ajd8va7ytwmttl7csk9ug6vlfl28ctd9",271714516
"osmo10tqvl9tturg7sm8fsanffz7z95f935lw6ye23u",271714516
"osmo10trcv8p5p38mj4wm87y4e5jz2gwspudkkwk668",67928629
"osmo10tw0k0q89yv43s6483lfvkvk8wh2rgse3nf6jp",67928629
"osmo10twp80tt04zp5ssez9jmdqjlkn7g4wz76qjk4g",67928629
"osmo10ty0fap7l0lk3rfnpudhekhdvtefhnug3wtfcy",203785887
"osmo10tyspdhw7v0mmjrkj5jlrmzudrscd5l8mch660",67928629
"osmo10u0uulq7xzncunpxzjjxzsfpg86kye3cww4w4j",203785887
"osmo10u2ady3gzgjd4sa7s0pz5hynfsynrsv8m9apj6",135857258
"osmo10u8c8kemnmp6smxqak40dhsf2z3uuyra6wnsxr",271714516
"osmo10ufkg6c7qg40n4a5kjg4tf20xxzm7j45ss6xe3",67928629
"osmo10ufvja58kdfyy9pljwamnfcpprl30y3h6dj8tn",271714516
"osmo10ugm0za9gcnkht3jrmw7y2f2x89d3jngf6gzkz",67928629
"osmo10ugstclq977j3p2uqknx368fygtzmj7cna927y",135857258
"osmo10ukxdr3sqpnxndank7r777k5uaq3h7ak2ge649",203785887
"osmo10ut5608mqh5hy2xqyk9q9aw5vztwp76am4prjn",67928629
"osmo10uyx3mjp7wptjjerp27cckd6rvdqvksc4ypy7c",271714516
"osmo10v28alfhslmnw7jmzwxl6pqxkffhwwmjytvx3h",271714516
"osmo10vddmjvdy0ylhqmlumf4dkvmmwzhfz9dlxj77p",203785887
"osmo10vfluzvj4e6hfwyg7tlug0ua7wz04y77562ll5",135857258
"osmo10vkg6ckqnzr865g4f2u7am0ftekuvu4ef99x8s",67928629
"osmo10vkkjh7fhhmzgc44cfmj6pwzk5z6ummwhvyrmz",67928629
"osmo10vkqhhwu6cyp05kx0k2dfh3fyd562jgg6qtqra",271714516
"osmo10vrhzs86rlp8wz0tpnqt36kvzvu0vr4hv4rn0t",67928629
"osmo10vtg6h9wrekrjrexllj4k4murs8dss6cvfzm68",135857258
"osmo10vvdsmu84g37nfx9p8k898k3tqqs5kkcd7q4f4",203785887
"osmo10vw7zjx6jhmtlf9rncan6zr0wzp2zd0rwa74tu",67928629
"osmo10w6zpqw2k3cre0lfmjrg0etzzluk22zcdlyncc",271714516
