address,amount
osmo106pka2s0zfnnk69mtu2c3cy5qeslut4xsdzcpp,173238861
osmo106pu65mnndcvjfr0rzmw99usl6scfedh4kxx94,250000000
osmo106t4pmer5d95nmxkge5kz3ek38352lvm7t5l0y,100000000
osmo106u9f60jm6vjv472xwt3k6jar56kvzx897duvz,71000000
osmo106v0dgp92mwgerjph7aw84wwkutzuq4znz4d69,303000000
osmo106x8q2nv7xsg7qrec2zgdf3vvq0t3gn49zvaha,1455000000
osmo106xmqnkq55cfmxc3l892cm3csr0py6wr4g5r2y,1450000000
osmo106ymhxaq5xkc0hv5txmg0rx8tnx9xy7rq39lc8,446412073
osmo106yztvz6uptg64s3uvs7hada323jgjsx37t90s,403936263
osmo1070n5e5az5lx4f8v2eemwenxmhll46wm0zyhhq,1000000000
osmo1070nwe2h5u9h6dwt73tl305f0yd25hp80tfmdd,53684449
osmo10726hk07gkln8cw75kt4gfgparlkv9vkyfykpj,173616231
osmo1074c8an6aps829sx9h36m674ky4d8jlu6zugt6,83122653
osmo1074h6wmfgw9ynsxuk4g4yma7uvt42r9800grxg,420690099
osmo1075dxegs6gen4uy6zd4mmprxdhayja2020sjly,133000000
osmo1075kknnlertmwrmagqlmes9ushwahh7nf6z5j8,50069563
osmo1076jrpzkmjwkc47tfe7m0rdma2azrrzp6dcx4w,86125738
osmo10772dpnsy5j7a3m8c8xex0wmjuxgvgkcel4pge,70000000
osmo10774eymrfgp4hfdnc50qp3afxsjgpv5x2vfs4f,50000000
osmo1077a24t55xh4vgn9s04j9u794z7qkf5ml0wsrg,100000000
osmo10792dvegqf7rwcmh60z34tqs90gjf7qlrcuxfc,133761217
osmo1079srp3whaakp6r7724fvmwws9f3n3nfc8sdq7,300569363
osmo107aggsqp8dyw28jmaxgwnwex8upf67768w2q5h,1000000000
osmo107ayrps98dzjsrkgp53gyjva3krfpm3wkg0kan,293682976
osmo107dxhk3m0a03z3nhnq2phqnxg6cljlnhde5jwh,200000000
osmo107e4c56a7cjch7t506rn8c6qm8e7vl7g40kh78,50000000
osmo107e4u22z0lzek6yjhh9rkwgjlzk9r3dqtae5ch,604908685
osmo107el89lq3x9yljxxj0z5udkxy7z3clquxkda38,290000000
osmo107f2qxe8rlrpet4h2pxw64sknyrtpp4a036aym,59821466
osmo107ha6ucve542sryhmmdgzldfff90durg4gzu96,1109181511
osmo107jedptvme9r9s238ep7vdc8wsckpg42sn3qze,480000000
osmo107jglg76f4urt7gh2jvlhp0yehymtys3alyd76,619802977
osmo107ju08rdjt47mxs7kw96tr58z8pwwrrqvvtylm,123279818
osmo107jxnh0ape78ltms4plcg5nwk9rne7lvrernal,1487795854
osmo107kuxmya29mguyyxfn4aw4vy39llrz00ne84eg,563670387
osmo107lzvcj0qyl8rhmh3j553pg2ugws5e8n4a3ypj,305010426
osmo107m09gnrav7sfk8awf0fdnd5dn4fdlau5gf7re,50700000
osmo107mtsc2c7suqpvsdmygy74tv05p9xvce7se2yx,290760000
osmo107n5mm03l4h6vzvxl5a8c0ly5gucekhtck3vev,2907510351
osmo107nsjqu8xf9wck3mlsd6jnjagd6spt5r65rlew,7227000000
osmo107pl8myc7pqdu5xjylkw5pzracsmkxmedaa5h8,8734001000
osmo107r0ylq95jdantsxr2v376s3mu0ufh6g5fh0j7,300000000
osmo107t3km9mthl93axtpqfsfavkguk7333tqqcj9q,55613114
osmo107tn5s5nsznzvczjf76qhsq2fwwe6j9zjlrljp,5000000000
osmo107tugrc9a5ylqreat8fq83hj6fv45dp42hyuxj,50100000
osmo107v0sj79n432a3kz6g2zrq5mye5vjpa6fk5xlt,337258742
osmo107v73h8l9pnfphj8sd02pa0dnrcq2nyfejj0fn,50000000
osmo107vcd0zwh2sckwmq9dwzvf4zrvuj7z250v5nga,100600000
osmo107vjqq2g0ksant3ga08s6am7j9pk7vwqhj0vr0,3400010000
osmo107y0tfr99cak25eja4sjaaghd4tlmj5r8xmr6s,165936179
osmo1083la8vqvknjgv57dxj03x3x87qvlees5y2clc,200000000
osmo1084946qpxnvmyr5gcy3j4k88d93n6r7g3tagcw,134429447
osmo1085939jcdwggdy7rrlsswa53u5jgrd8u88nt6t,50000000
osmo1085q77ah9kly5rd7uxjqcz38c40ecswr3zsxgf,2204800000
